operation	global_time	length_of_queue	logical_clock
|receive	|	time.time	2	6
|receive	|	time.time	7	7
|receive	|	time.time	11	8
|receive	|	time.time	10	9
|receive	|	time.time	11	10
|receive	|	time.time	16	11
|receive	|	time.time	18	12
|receive	|	time.time	20	13
|receive	|	time.time	22	14
|receive	|	time.time	24	20
|receive	|	time.time	26	21
|receive	|	time.time	25	22
|receive	|	time.time	32	23
|receive	|	time.time	32	24
|receive	|	time.time	32	31
|receive	|	time.time	36	32
|receive	|	time.time	35	33
|receive	|	time.time	43	34
|receive	|	time.time	45	35
|receive	|	time.time	47	36
|receive	|	time.time	49	37
|receive	|	time.time	51	38
|receive	|	time.time	53	42
|receive	|	time.time	55	43
|receive	|	time.time	57	44
|receive	|	time.time	59	48
|receive	|	time.time	61	49
|receive	|	time.time	60	50
|receive	|	time.time	62	54
|receive	|	time.time	61	55
|receive	|	time.time	63	56
|receive	|	time.time	68	60
|receive	|	time.time	70	61
|receive	|	time.time	75	62
|receive	|	time.time	75	66
|receive	|	time.time	79	67
|receive	|	time.time	81	68
|receive	|	time.time	83	75
|receive	|	time.time	85	76
|receive	|	time.time	87	77
|receive	|	time.time	89	78
|receive	|	time.time	91	79
|receive	|	time.time	90	80
|receive	|	time.time	95	84
|receive	|	time.time	94	86
|receive	|	time.time	96	89
|receive	|	time.time	98	91
|receive	|	time.time	98	94
|receive	|	time.time	99	95
|receive	|	time.time	104	96
|receive	|	time.time	103	97
|receive	|	time.time	105	98
|receive	|	time.time	107	105
|receive	|	time.time	109	106
|receive	|	time.time	114	107
|receive	|	time.time	113	108
