operation 				global_time 		length_of_queue 	logical_clock  	origin  server   		clockrate:  5   	Server  port:  28003   	Client  port:  18003 
|receive		|	2023-03-07 23:27:30.527935	|	0		|	1	18003
|send			|	2023-03-07 23:27:30.528307	|	0		|	2
|send			|	2023-03-07 23:27:30.528576	|	0		|	3
|internal event	|	2023-03-07 23:27:30.528712	|	0		|	4
|send			|	2023-03-07 23:27:30.528937	|	0		|	5
|send			|	2023-03-07 23:27:31.529290	|	0		|	6
|send			|	2023-03-07 23:27:31.529581	|	0		|	7
|send			|	2023-03-07 23:27:31.529840	|	0		|	8
|send			|	2023-03-07 23:27:31.530199	|	0		|	9
|send			|	2023-03-07 23:27:31.530512	|	0		|	10
|send			|	2023-03-07 23:27:32.530280	|	0		|	11
|send			|	2023-03-07 23:27:32.530408	|	0		|	12
|internal event	|	2023-03-07 23:27:32.530451	|	0		|	13
|send			|	2023-03-07 23:27:32.530502	|	0		|	14
|send			|	2023-03-07 23:27:32.530576	|	0		|	15
