operation	global_time	length_of_queue	logical_clock	clockrate: 6
|internal event	|	time.time	|	0		|	1
|internal event	|	time.time	|	0		|	2
|internal event	|	time.time	|	0		|	3
|internal event	|	time.time	|	0		|	4
|send			|	time.time	|	0		|	5
|internal event	|	time.time	|	0		|	6
|receive		|	time.time	|	3		|	6
|receive		|	time.time	|	2		|	7
|receive		|	time.time	|	1		|	8
|send			|	time.time	|	0		|	10
|internal event	|	time.time	|	0		|	11
|internal event	|	time.time	|	0		|	12
|send			|	time.time	|	0		|	13
|internal event	|	time.time	|	0		|	14
|internal event	|	time.time	|	0		|	15
|internal event	|	time.time	|	0		|	16
|internal event	|	time.time	|	0		|	17
|internal event	|	time.time	|	0		|	18
|send			|	time.time	|	0		|	19
|internal event	|	time.time	|	0		|	20
|send			|	time.time	|	0		|	21
|send			|	time.time	|	0		|	22
|internal event	|	time.time	|	0		|	23
|internal event	|	time.time	|	0		|	24
|send			|	time.time	|	0		|	25
|send			|	time.time	|	0		|	26
|internal event	|	time.time	|	0		|	27
|internal event	|	time.time	|	0		|	28
|send			|	time.time	|	0		|	29
|send			|	time.time	|	0		|	30
|send			|	time.time	|	0		|	31
|internal event	|	time.time	|	0		|	32
|send			|	time.time	|	0		|	33
|send			|	time.time	|	0		|	34
|send			|	time.time	|	0		|	35
|send			|	time.time	|	0		|	36
|receive		|	time.time	|	3		|	36
|receive		|	time.time	|	2		|	37
|receive		|	time.time	|	1		|	38
|send			|	time.time	|	0		|	40
|internal event	|	time.time	|	0		|	41
|internal event	|	time.time	|	0		|	42
|receive		|	time.time	|	2		|	42
|receive		|	time.time	|	1		|	43
|send			|	time.time	|	1		|	45
|receive		|	time.time	|	1		|	45
|send			|	time.time	|	0		|	47
|send			|	time.time	|	0		|	48
|send			|	time.time	|	0		|	49
|send			|	time.time	|	0		|	50
|internal event	|	time.time	|	0		|	51
|internal event	|	time.time	|	0		|	52
|internal event	|	time.time	|	0		|	53
|send			|	time.time	|	0		|	54
|internal event	|	time.time	|	0		|	55
|send			|	time.time	|	0		|	56
|send			|	time.time	|	0		|	57
|internal event	|	time.time	|	0		|	58
|send			|	time.time	|	0		|	59
|internal event	|	time.time	|	0		|	60
|send			|	time.time	|	0		|	61
|send			|	time.time	|	0		|	62
|internal event	|	time.time	|	0		|	63
|internal event	|	time.time	|	0		|	64
