operation 				global_time 		length_of_queue 	logical_clock  	origin  server   		clockrate:  1   	Server  port:  28001   	Client  port:  38001 
|send			|	2023-03-07 14:20:51.965903	|	0		|	1
|receive		|	2023-03-07 14:20:52.968062	|	1		|	5	18001
|receive		|	2023-03-07 14:20:53.973916	|	0		|	9	18001
|receive		|	2023-03-07 14:20:54.979092	|	1		|	13	18001
|receive		|	2023-03-07 14:20:55.983389	|	2		|	23	18001
|receive		|	2023-03-07 14:20:56.985388	|	1		|	24	38001
|receive		|	2023-03-07 14:20:57.991564	|	0		|	26	18001
|receive		|	2023-03-07 14:20:58.995622	|	3		|	39	18001
|receive		|	2023-03-07 14:21:00.014277	|	3		|	40	18001
|receive		|	2023-03-07 14:21:01.023185	|	5		|	42	18001
|receive		|	2023-03-07 14:21:02.026555	|	4		|	43	38001
|receive		|	2023-03-07 14:21:03.032217	|	4		|	48	18001
|receive		|	2023-03-07 14:21:04.036202	|	4		|	51	38001
|receive		|	2023-03-07 14:21:05.039675	|	4		|	55	18001
|receive		|	2023-03-07 14:21:06.045244	|	3		|	56	38001
|receive		|	2023-03-07 14:21:07.050506	|	2		|	59	38001
|receive		|	2023-03-07 14:21:08.056461	|	4		|	73	18001
|receive		|	2023-03-07 14:21:09.061428	|	4		|	77	18001
|receive		|	2023-03-07 14:21:10.066870	|	3		|	91	38001
|receive		|	2023-03-07 14:21:11.071215	|	3		|	97	18001
|receive		|	2023-03-07 14:21:12.071550	|	3		|	98	38001
|receive		|	2023-03-07 14:21:13.077315	|	3		|	102	38001
|receive		|	2023-03-07 14:21:14.080361	|	3		|	111	18001
|receive		|	2023-03-07 14:21:15.084548	|	4		|	123	18001
|receive		|	2023-03-07 14:21:16.085990	|	3		|	130	18001
|receive		|	2023-03-07 14:21:17.087237	|	7		|	134	38001
|receive		|	2023-03-07 14:21:18.092347	|	7		|	141	18001
|receive		|	2023-03-07 14:21:19.097064	|	8		|	145	18001
|receive		|	2023-03-07 14:21:20.103137	|	11		|	149	18001
|receive		|	2023-03-07 14:21:21.105342	|	15		|	150	18001
|receive		|	2023-03-07 14:21:22.106351	|	14		|	153	18001
|receive		|	2023-03-07 14:21:23.111819	|	16		|	155	18001
|receive		|	2023-03-07 14:21:24.114558	|	17		|	157	18001
|receive		|	2023-03-07 14:21:25.118754	|	17		|	158	38001
|receive		|	2023-03-07 14:21:26.123859	|	18		|	161	18001
|receive		|	2023-03-07 14:21:27.125565	|	19		|	163	18001
|receive		|	2023-03-07 14:21:28.129856	|	19		|	164	18001
|receive		|	2023-03-07 14:21:29.135105	|	18		|	169	18001
|receive		|	2023-03-07 14:21:30.140880	|	19		|	170	38001
|receive		|	2023-03-07 14:21:31.143378	|	19		|	171	38001
|receive		|	2023-03-07 14:21:32.148899	|	21		|	172	18001
|receive		|	2023-03-07 14:21:33.154341	|	23		|	173	18001
|receive		|	2023-03-07 14:21:34.160786	|	24		|	174	38001
|receive		|	2023-03-07 14:21:35.167773	|	24		|	181	18001
|receive		|	2023-03-07 14:21:36.174062	|	25		|	182	38001
|receive		|	2023-03-07 14:21:37.178497	|	26		|	186	18001
|receive		|	2023-03-07 14:21:38.184396	|	27		|	187	18001
|receive		|	2023-03-07 14:21:39.189220	|	28		|	189	38001
|receive		|	2023-03-07 14:21:40.193665	|	28		|	191	18001
|receive		|	2023-03-07 14:21:41.199602	|	28		|	193	18001
|receive		|	2023-03-07 14:21:42.204552	|	28		|	194	18001
|receive		|	2023-03-07 14:21:43.210050	|	28		|	204	18001
|receive		|	2023-03-07 14:21:44.216070	|	29		|	205	18001
|receive		|	2023-03-07 14:21:45.217570	|	30		|	206	18001
|receive		|	2023-03-07 14:21:46.222660	|	29		|	207	38001
|receive		|	2023-03-07 14:21:47.226556	|	30		|	216	38001
|receive		|	2023-03-07 14:21:48.231311	|	29		|	227	18001
|receive		|	2023-03-07 14:21:49.237336	|	29		|	229	18001
|receive		|	2023-03-07 14:21:50.240739	|	28		|	232	18001
|receive		|	2023-03-07 14:21:51.243102	|	27		|	236	18001
|receive		|	2023-03-07 14:21:52.248581	|	26		|	239	18001
|receive		|	2023-03-07 14:21:53.250425	|	26		|	240	18001
|receive		|	2023-03-07 14:21:54.256959	|	26		|	244	38001
|receive		|	2023-03-07 14:21:55.260005	|	26		|	245	38001
