operation 				global_time 		length_of_queue 	logical_clock  		clockrate:  1   	Server  port:  38001   	Client  port:  18001 
|internal event	|	2023-03-06 21:54:11.179576	|	0		|	1
|receive		|	2023-03-06 21:54:12.186075	|	2		|	2
|receive		|	2023-03-06 21:54:13.187452	|	3		|	3
|receive		|	2023-03-06 21:54:14.191976	|	2		|	4
|receive		|	2023-03-06 21:54:15.196681	|	1		|	9
|receive		|	2023-03-06 21:54:16.197366	|	2		|	11
|receive		|	2023-03-06 21:54:17.203026	|	2		|	27
|receive		|	2023-03-06 21:54:18.208770	|	4		|	30
|receive		|	2023-03-06 21:54:19.215655	|	4		|	34
|receive		|	2023-03-06 21:54:20.217484	|	4		|	38
|receive		|	2023-03-06 21:54:21.222592	|	3		|	39
|receive		|	2023-03-06 21:54:22.230747	|	3		|	40
|receive		|	2023-03-06 21:54:23.233749	|	3		|	46
|receive		|	2023-03-06 21:54:24.234574	|	3		|	53
|receive		|	2023-03-06 21:54:25.236662	|	3		|	64
|receive		|	2023-03-06 21:54:26.241358	|	3		|	69
|receive		|	2023-03-06 21:54:27.245300	|	3		|	76
|receive		|	2023-03-06 21:54:28.246215	|	3		|	79
|receive		|	2023-03-06 21:54:29.250030	|	2		|	89
|receive		|	2023-03-06 21:54:30.256308	|	1		|	93
|receive		|	2023-03-06 21:54:31.259026	|	2		|	99
|receive		|	2023-03-06 21:54:32.265295	|	3		|	117
|receive		|	2023-03-06 21:54:33.267254	|	2		|	119
|receive		|	2023-03-06 21:54:34.272455	|	3		|	122
|receive		|	2023-03-06 21:54:35.274712	|	2		|	123
|receive		|	2023-03-06 21:54:36.278810	|	1		|	136
|receive		|	2023-03-06 21:54:37.285048	|	3		|	144
|receive		|	2023-03-06 21:54:38.288826	|	6		|	153
|receive		|	2023-03-06 21:54:39.293972	|	5		|	155
|receive		|	2023-03-06 21:54:40.299667	|	4		|	156
|receive		|	2023-03-06 21:54:41.301656	|	4		|	159
|receive		|	2023-03-06 21:54:42.307651	|	4		|	160
|receive		|	2023-03-06 21:54:43.308729	|	4		|	161
|receive		|	2023-03-06 21:54:44.317036	|	4		|	162
|receive		|	2023-03-06 21:54:45.324255	|	5		|	179
|receive		|	2023-03-06 21:54:46.330271	|	5		|	183
|receive		|	2023-03-06 21:54:47.335938	|	6		|	188
|receive		|	2023-03-06 21:54:48.339050	|	6		|	195
|receive		|	2023-03-06 21:54:49.342531	|	5		|	203
|receive		|	2023-03-06 21:54:50.349010	|	5		|	204
|receive		|	2023-03-06 21:54:51.352981	|	5		|	210
|receive		|	2023-03-06 21:54:52.357674	|	4		|	213
|receive		|	2023-03-06 21:54:53.361354	|	3		|	216
|receive		|	2023-03-06 21:54:54.366944	|	2		|	219
|receive		|	2023-03-06 21:54:55.370716	|	4		|	230
|receive		|	2023-03-06 21:54:56.374127	|	5		|	239
|receive		|	2023-03-06 21:54:57.378580	|	4		|	266
|receive		|	2023-03-06 21:54:58.385534	|	4		|	267
|receive		|	2023-03-06 21:54:59.389409	|	3		|	268
|receive		|	2023-03-06 21:55:00.391697	|	2		|	272
|receive		|	2023-03-06 21:55:01.395443	|	1		|	275
|receive		|	2023-03-06 21:55:02.401009	|	1		|	280
|receive		|	2023-03-06 21:55:03.407175	|	1		|	306
|receive		|	2023-03-06 21:55:04.411591	|	2		|	312
|receive		|	2023-03-06 21:55:05.415386	|	3		|	314
|receive		|	2023-03-06 21:55:06.421014	|	3		|	316
|receive		|	2023-03-06 21:55:07.425773	|	5		|	320
|receive		|	2023-03-06 21:55:08.433694	|	6		|	321
|receive		|	2023-03-06 21:55:09.436539	|	5		|	329
|receive		|	2023-03-06 21:55:10.439368	|	6		|	332
|receive		|	2023-03-06 21:55:11.444429	|	7		|	334
|receive		|	2023-03-06 21:55:12.449918	|	6		|	335
|receive		|	2023-03-06 21:55:13.453978	|	6		|	339
|receive		|	2023-03-06 21:55:14.458112	|	5		|	342
|receive		|	2023-03-06 21:55:15.461005	|	4		|	350
|receive		|	2023-03-06 21:55:16.465145	|	4		|	353
|receive		|	2023-03-06 21:55:17.466618	|	6		|	363
|receive		|	2023-03-06 21:55:18.470787	|	6		|	364
|receive		|	2023-03-06 21:55:19.477024	|	5		|	371

